task_slug,task_name,category,model,score,avg_input_tokens,avg_output_tokens,wall_sec,n_requests,total_input_tokens,total_output_tokens,avg_latency_ms
drelvak-reduplication-lang-learning,drelvak_reduplication_lang_learning,Language Learning,Gemini 2.5 Flash,0.7,,,,,,,
drelvak-reduplication-lang-learning,drelvak_reduplication_lang_learning,Language Learning,Gemini 3.1 Flash-Lite Preview,0.5,,,,,,,
drelvak-reduplication-lang-learning,drelvak_reduplication_lang_learning,Language Learning,Gemini 3.1 Pro Preview,0.6142857142857143,,,,,,,
drelvak-reduplication-lang-learning,drelvak_reduplication_lang_learning,Language Learning,Gemma 4 26B A4B,0.30000000000000004,,,,,,,
drelvak-reduplication-lang-learning,drelvak_reduplication_lang_learning,Language Learning,Qwen 3 Next 80B Instruct,0.21785714285714286,,,,,,,
drelvak-reduplication-lang-learning,drelvak_reduplication_lang_learning,Language Learning,Qwen 3 Next 80B Thinking,0.4357142857142857,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,Claude Haiku 4.5,0.30000000000000004,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,Claude Opus 4.6,0.4,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,Claude Sonnet 4.6,0.4,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,DeepSeek V3.2,0.2,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,GLM-5,0.0,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,GPT-5.4,0.4,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,GPT-5.4 mini,0.22,548.5,30.0,4.97,6,3291,180,603.5
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,GPT-5.4 nano,0.22,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,Gemini 2.5 Flash,0.0,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,Gemini 3.1 Pro Preview,0.2,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,Gemma 4 26B A4B,0.4,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,Qwen 3 Next 80B Instruct,0.0,,,,,,,
dual-recurrence-concept-learning,dual_recurrence_concept_learning,Concept Formation,Qwen 3 Next 80B Thinking,0.0,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,Claude Haiku 4.5,0.2,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,Claude Opus 4.6,0.4,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,Claude Sonnet 4.6,0.6375,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,DeepSeek V3.2,0.0,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,GLM-5,1.0,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,GPT-5.4,0.35625,669.2,24.1,18.63,11,7361,265,1112.5
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,GPT-5.4 mini,0.5,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,GPT-5.4 nano,0.175,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,Gemini 2.5 Flash,1.0,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,Gemini 3.1 Flash-Lite Preview,0.7,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,Gemini 3.1 Pro Preview,1.0,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,Gemma 4 26B A4B,0.25,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,Qwen 3 Next 80B Instruct,0.35625,,,,,,,
encoded-triple-concept-learning,encoded_triple_concept_learning,Concept Formation,Qwen 3 Next 80B Thinking,0.925,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,Claude Haiku 4.5,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,Claude Opus 4.6,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,Claude Sonnet 4.6,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,DeepSeek V3.2,0.5,615.0,5431.0,167.62,1,615,5431,166750.0
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,GLM-5,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,GPT-5.4,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,GPT-5.4 mini,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,GPT-5.4 nano,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,Gemini 2.5 Flash,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,Gemma 4 26B A4B,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.0,,,,,,,
feistel-cipher-round-obs-learning,feistel_cipher_round_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,0.75,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,Claude Haiku 4.5,1.0,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.9906,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.9906,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.9531,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,GLM-5,0.9719,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,GPT-5.4,0.2,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.2,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.8969,2951.5,219.9,36.81,17,50176,3738,1777.6
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.2,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.8625,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,0.85,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,0.9,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.8125,,,,,,,
fib-like-next-rf-learning,fib_like_next_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,0.95,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,Claude Haiku 4.5,0.25,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,Claude Opus 4.6,0.25,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,Claude Sonnet 4.6,0.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,DeepSeek V3.2,0.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,GLM-5,1.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,GPT-5.4,0.25,542.0,64.0,2.59,1,542,64,1687.0
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,GPT-5.4 mini,0.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,GPT-5.4 nano,0.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,Gemini 2.5 Flash,0.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,Gemma 4 26B A4B,0.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.0,,,,,,,
finite-state-transducer-obs-learning,finite_state_transducer_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,1.0,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,Claude Haiku 4.5,0.75,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,Claude Opus 4.6,0.25,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,Claude Sonnet 4.6,0.25,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,DeepSeek V3.2,0.5,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,GLM-5,0.0,,,302.04,0,0,0,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,GPT-5.4,0.25,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,GPT-5.4 mini,0.25,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,GPT-5.4 nano,0.0,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,Gemini 2.5 Flash,0.25,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.25,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,0.75,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,Gemma 4 26B A4B,0.5,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.0,,,,,,,
flow-network-capacity-obs-learning,flow_network_capacity_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,0.5,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.8,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.8442,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.8788,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.8442,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,GLM-5,0.8735,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,GPT-5.4,0.12,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.86,201.8,16.8,2.81,4,807,67,489.2
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.08,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.8096,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.8881,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,0.8935,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,0.8442,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.8,,,,,,,
graph-shortest-path-rf-learning,graph_shortest_path_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,0.8,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.15,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.0,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.1833,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.1333,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,GLM-5,0.1167,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,GPT-5.4,0.9182,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.1167,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.1,570.5,14.0,24.95,30,17115,420,752.3
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.15,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.15,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,0.9489,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,0.1333,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.15,,,,,,,
gray-hamming-rf-learning,gray_hamming_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,0.1333,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,Claude Haiku 4.5,0.36,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,Claude Opus 4.6,0.4,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,Claude Sonnet 4.6,0.30000000000000004,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,DeepSeek V3.2,0.6000000000000001,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,GLM-5,0.64,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,GPT-5.4,0.30000000000000004,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,GPT-5.4 mini,0.23,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,GPT-5.4 nano,0.26,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,Gemini 2.5 Flash,0.30000000000000004,1050.1,22.9,341.28,17,17852,390,19929.5
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,Gemini 3.1 Flash-Lite Preview,0.24,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,Gemini 3.1 Pro Preview,0.48,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,Gemma 4 26B A4B,0.28,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,Qwen 3 Next 80B Instruct,0.44,,,,,,,
grelkan-suppletion-lang-learning,grelkan_suppletion_lang_learning,Language Learning,Qwen 3 Next 80B Thinking,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,Claude Haiku 4.5,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,Claude Opus 4.6,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,Claude Sonnet 4.6,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,DeepSeek V3.2,0.4,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,GLM-5,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,GPT-5.4,0.0,2301.5,54.0,4.06,2,4603,108,1437.0
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,GPT-5.4 mini,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,GPT-5.4 nano,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,Gemini 2.5 Flash,1.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,Gemini 3.1 Pro Preview,1.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,Gemma 4 26B A4B,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,Qwen 3 Next 80B Instruct,0.0,,,,,,,
grid-transform-concept-learning,grid_transform_concept_learning,Concept Formation,Qwen 3 Next 80B Thinking,1.0,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,Claude Haiku 4.5,0.49230769230769234,2300.5,201.2,32.04,13,29907,2615,2342.4
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,Claude Opus 4.6,0.30000000000000004,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,Claude Sonnet 4.6,0.7230769230769231,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,DeepSeek V3.2,0.5384615384615384,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,GLM-5,0.6807692307692308,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,GPT-5.4,0.43076923076923074,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,GPT-5.4 mini,0.6461538461538461,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,GPT-5.4 nano,0.3153846153846154,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,Gemini 2.5 Flash,0.25,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,Gemini 3.1 Flash-Lite Preview,0.25,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,Gemini 3.1 Pro Preview,0.9076923076923077,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,Gemma 4 26B A4B,0.0,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,Qwen 3 Next 80B Instruct,0.6115384615384616,,,,,,,
gwelthar-mirative-evidential-tone-lang-learning,gwelthar_mirative_evidential_tone_lang_learning,Language Learning,Qwen 3 Next 80B Thinking,0.5,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.2,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,Claude Opus 4.6,1.0,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.8568,1898.1,77.8,72.24,28,53147,2178,2458.1
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.2,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,GLM-5,1.0,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,GPT-5.4,1.0,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.9932,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,GPT-5.4 nano,1.0,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.09,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.8977,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,1.0,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.0667,,,,,,,
hanoi-two-rf-learning,hanoi_two_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,0.9659,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,Claude Haiku 4.5,0.625,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,Claude Opus 4.6,0.625,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,Claude Sonnet 4.6,0.5,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,DeepSeek V3.2,0.625,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,GLM-5,0.75,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,GPT-5.4,0.75,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,GPT-5.4 mini,0.75,1599.0,56.0,1.2,1,1599,56,506.0
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,GPT-5.4 nano,0.5,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,Gemini 2.5 Flash,0.75,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.5,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,0.75,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,Gemma 4 26B A4B,0.5,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.625,,,,,,,
hidden-attribute-rule-obs-learning,hidden_attribute_rule_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,0.375,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,Claude Haiku 4.5,0.0,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,Claude Opus 4.6,0.25,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,Claude Sonnet 4.6,0.0,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,DeepSeek V3.2,0.75,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,GLM-5,1.0,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,GPT-5.4,0.5,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,GPT-5.4 mini,0.0,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,GPT-5.4 nano,0.25,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,Gemini 2.5 Flash,0.25,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.5,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,Gemma 4 26B A4B,0.25,,,,,,,
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.0,2151.0,59.0,1.47,1,2151,59,446.0
hidden-damping-physics-obs-learning,hidden_damping_physics_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,1.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,Claude Haiku 4.5,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,Claude Opus 4.6,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,Claude Sonnet 4.6,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,DeepSeek V3.2,1.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,GLM-5,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,GPT-5.4,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,GPT-5.4 mini,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,GPT-5.4 nano,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,Gemini 2.5 Flash,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,Gemma 4 26B A4B,0.0,,,,,,,
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.0,1382.0,111.0,1.51,1,1382,111,618.0
hidden-graph-centrality-obs-learning,hidden_graph_centrality_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,0.0,,,,,,,
hidden-group-operation-obs-learning,hidden_group_operation_obs_learning,Observational Learning,Claude Haiku 4.5,0.0,,,,,,,
hidden-group-operation-obs-learning,hidden_group_operation_obs_learning,Observational Learning,Claude Opus 4.6,0.0,,,,,,,
